,city,city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours,target
0,0.0,0.92,1.0,1.0,2.0,2.0,5.0,21.0,2277.964901664145,0.0,1.0,36.0,1.0
1,1.0,0.7759999999999999,1.0,0.0,2.0,2.0,5.0,15.0,75.0,6.0,5.0,47.0,0.0
2,2.0,0.624,2.0,0.0,1.0,2.0,5.0,5.0,2277.964901664145,0.0,0.0,83.0,0.0
3,3.0,0.789,1.0,0.0,2.0,2.0,4.0,0.0,2277.964901664145,6.0,0.0,52.0,1.0
4,4.0,0.767,1.0,1.0,2.0,3.0,5.0,21.0,75.0,4.0,4.0,8.0,0.0
5,5.0,0.764,1.0,1.0,0.0,2.0,5.0,11.0,2277.964901664145,0.0,1.0,24.0,1.0
6,6.0,0.92,1.0,1.0,2.0,1.0,5.0,5.0,75.0,4.0,1.0,24.0,0.0
7,7.0,0.762,1.0,1.0,2.0,2.0,5.0,13.0,9.0,6.0,5.0,18.0,1.0
8,0.0,0.92,1.0,1.0,2.0,2.0,5.0,7.0,75.0,6.0,1.0,46.0,1.0
9,0.0,0.92,2.0,1.0,2.0,2.0,5.0,17.0,10001.0,6.0,5.0,123.0,0.0
10,2.0,0.624,1.0,0.0,1.0,1.0,5.0,2.0,2277.964901664145,0.0,0.0,32.0,1.0
11,0.0,0.92,1.0,1.0,2.0,2.0,5.0,5.0,7500.0,6.0,1.0,108.0,0.0
12,8.0,0.913,1.0,1.0,2.0,2.0,5.0,21.0,3000.0,6.0,3.0,23.0,0.0
13,2.0,0.624,1.0,0.0,2.0,2.0,5.0,2.0,2277.964901664145,0.0,0.0,24.0,0.0
14,2.0,0.624,2.0,0.0,1.0,1.0,5.0,5.0,2277.964901664145,0.0,0.0,26.0,0.0
15,9.0,0.926,1.0,1.0,2.0,2.0,5.0,16.0,30.0,6.0,5.0,18.0,0.0
16,0.0,0.92,2.0,1.0,2.0,2.0,5.0,1.0,75.0,6.0,0.0,106.0,0.0
17,2.0,0.624,2.0,1.0,2.0,2.0,5.0,2.0,7500.0,6.0,2.0,7.0,0.0
18,2.0,0.624,1.0,1.0,2.0,2.0,5.0,7.0,10001.0,6.0,0.0,23.0,1.0
19,10.0,0.8270000000000001,2.0,1.0,2.0,2.0,3.0,4.0,2277.964901664145,0.0,1.0,132.0,1.0
20,11.0,0.843,1.0,1.0,2.0,3.0,5.0,11.0,300.0,6.0,1.0,68.0,0.0
21,9.0,0.926,1.0,1.0,2.0,3.0,5.0,11.0,300.0,6.0,2.0,50.0,0.0
22,12.0,0.804,2.0,1.0,2.0,3.0,5.0,10.0,2277.964901664145,0.0,1.0,48.0,0.0
23,1.0,0.7759999999999999,1.0,1.0,2.0,2.0,2.0,0.0,3000.0,6.0,1.0,65.0,0.0
24,2.0,0.624,2.0,1.0,2.0,2.0,5.0,5.0,3000.0,6.0,1.0,13.0,0.0
25,13.0,0.855,2.0,0.0,2.0,1.0,5.0,4.0,2277.964901664145,0.0,0.0,22.0,0.0
26,2.0,0.624,1.0,1.0,0.0,2.0,5.0,14.0,750.0,6.0,1.0,148.0,1.0
27,0.0,0.92,1.0,1.0,2.0,2.0,3.0,5.0,2277.964901664145,0.0,2.0,72.0,0.0
28,14.0,0.887,1.0,1.0,2.0,1.0,5.0,11.0,9.0,6.0,1.0,8.0,1.0
29,2.0,0.624,1.0,1.0,2.0,2.0,5.0,18.0,75.0,4.0,2.0,68.0,1.0
30,0.0,0.92,1.0,1.0,2.0,2.0,5.0,21.0,300.0,6.0,3.0,40.0,0.0
31,0.0,0.92,1.0,1.0,0.0,2.0,5.0,19.0,7500.0,6.0,5.0,141.0,0.0
32,0.0,0.92,2.0,0.0,1.0,2.0,5.0,5.0,2277.964901664145,0.0,1.0,24.0,0.0
33,6.0,0.92,2.0,1.0,2.0,2.0,5.0,21.0,300.0,6.0,5.0,82.0,0.0
34,15.0,0.91,1.0,1.0,2.0,2.0,4.0,12.0,7500.0,6.0,3.0,145.0,0.0
35,0.0,0.92,1.0,1.0,2.0,2.0,5.0,10.0,30.0,3.0,2.0,206.0,0.0
36,9.0,0.926,1.0,0.0,0.0,1.0,5.0,1.0,10001.0,1.0,1.0,152.0,0.0
37,9.0,0.926,1.0,1.0,2.0,4.0,5.0,21.0,300.0,6.0,4.0,42.0,1.0
38,0.0,0.92,2.0,0.0,2.0,2.0,5.0,12.0,2277.964901664145,0.0,4.0,50.0,0.0
39,16.0,0.884,1.0,0.0,2.0,2.0,5.0,3.0,2277.964901664145,0.0,0.0,106.0,0.0
40,9.0,0.926,2.0,1.0,1.0,3.0,5.0,16.0,3000.0,5.0,2.0,14.0,0.0
41,17.0,0.924,1.0,1.0,2.0,1.0,5.0,4.0,30.0,6.0,2.0,36.0,0.0
42,2.0,0.624,1.0,1.0,2.0,3.0,5.0,6.0,75.0,3.0,1.0,112.0,1.0
43,18.0,0.6659999999999999,2.0,0.0,2.0,2.0,0.0,9.0,75.0,6.0,0.0,108.0,0.0
44,2.0,0.624,1.0,1.0,0.0,3.0,5.0,9.0,7500.0,6.0,3.0,7.0,1.0
45,2.0,0.624,2.0,0.0,1.0,3.0,5.0,5.0,2277.964901664145,0.0,0.0,26.0,1.0
46,2.0,0.624,1.0,1.0,2.0,2.0,5.0,5.0,300.0,6.0,0.0,87.0,1.0
47,0.0,0.92,0.0,1.0,2.0,2.0,5.0,19.0,10001.0,5.0,4.0,52.0,1.0
48,19.0,0.5579999999999999,1.0,1.0,2.0,2.0,0.0,15.0,2277.964901664145,0.0,5.0,20.0,1.0
49,20.0,0.923,1.0,1.0,2.0,2.0,5.0,11.0,30.0,6.0,1.0,21.0,0.0
50,19.0,0.5579999999999999,1.0,0.0,2.0,2.0,5.0,4.0,2277.964901664145,0.0,1.0,92.0,1.0
51,18.0,0.6659999999999999,1.0,1.0,2.0,2.0,5.0,10.0,300.0,6.0,2.0,102.0,0.0
52,21.0,0.794,1.0,0.0,2.0,2.0,2.0,5.0,10001.0,6.0,5.0,26.0,0.0
53,17.0,0.924,2.0,1.0,2.0,3.0,5.0,3.0,9.0,3.0,2.0,7.0,0.0
54,9.0,0.926,1.0,0.0,1.0,1.0,5.0,4.0,10001.0,6.0,1.0,43.0,0.0
55,17.0,0.924,1.0,1.0,2.0,2.0,5.0,21.0,300.0,6.0,1.0,45.0,0.0
56,22.0,0.754,1.0,1.0,1.0,2.0,5.0,2.0,75.0,3.0,2.0,52.0,0.0
57,0.0,0.92,1.0,1.0,2.0,2.0,5.0,21.0,2277.964901664145,0.0,2.0,19.0,0.0
58,2.0,0.624,1.0,1.0,1.0,2.0,5.0,2.0,30.0,4.0,2.0004270082732853,32.0,1.0
59,4.0,0.767,1.0,1.0,2.0,2.0,2.0,21.0,300.0,6.0,5.0,26.0,1.0
60,13.0,0.855,1.0,1.0,0.0,2.0,5.0,6.0,2277.964901664145,0.0,1.0,90.0,0.0
61,23.0,0.939,1.0,1.0,2.0,2.0,5.0,6.0,300.0,6.0,3.0,25.0,0.0
62,24.0,0.8270000000000001,2.0,1.0,2.0,3.0,5.0,13.0,9.0,0.0,1.0,15.0,0.0
63,14.0,0.887,1.0,1.0,2.0,3.0,2.0,21.0,300.0,6.0,5.0,48.0,0.0
64,25.0,0.55,2.0,0.0,1.0,1.0,5.0,3.0,2277.964901664145,0.0,2.0004270082732853,98.0,0.0
65,26.0,0.865,1.0,1.0,2.0,2.0,5.0,10.0,75.0,6.0,2.0,142.0,1.0
66,13.0,0.855,0.0,0.0,2.0,3.0,2.0,4.0,10001.0,6.0,4.0,13.0,0.0
67,15.0,0.91,1.0,1.0,2.0,2.0,5.0,15.0,2277.964901664145,0.0,5.0,47.0,0.0
68,15.0,0.91,2.0,1.0,2.0,3.0,2.0,14.0,750.0,5.0,1.0,28.0,0.0
69,27.0,0.698,1.0,0.0,2.0,2.0,5.0,2.0,2277.964901664145,6.0,0.0,228.0,1.0
70,18.0,0.6659999999999999,1.0,1.0,2.0,2.0,5.0,21.0,2277.964901664145,0.0,4.0,22.0,0.0
71,2.0,0.624,1.0,0.0,1.0,2.0,5.0,0.0,2277.964901664145,0.0,0.0,18.0,1.0
72,10.0,0.8270000000000001,1.0,1.0,2.0,2.0,5.0,2.0,30.0,6.0,1.0,29.0,0.0
73,13.0,0.855,1.0,1.0,2.0,3.0,5.0,5.0,300.0,0.0,1.0,46.0,0.0
74,25.0,0.55,2.0,0.0,1.0,2.0,5.0,0.0,2277.964901664145,0.0,0.0,12.0,0.0
75,0.0,0.92,2.0,1.0,2.0,2.0,5.0,5.0,300.0,6.0,2.0,17.0,0.0
76,28.0,0.893,1.0,1.0,2.0,3.0,5.0,5.0,75.0,6.0,2.0,65.0,0.0
77,0.0,0.92,1.0,0.0,2.0,2.0,2.0,3.0,300.0,6.0,1.0,35.0,0.0
78,13.0,0.855,1.0,0.0,1.0,2.0,5.0,9.0,10001.0,6.0,3.0,14.0,0.0
79,0.0,0.92,2.0,1.0,2.0,3.0,5.0,2.0,9.0,3.0,1.0,4.0,0.0
80,0.0,0.92,1.0,1.0,2.0,2.0,5.0,15.0,75.0,6.0,5.0,12.0,0.0
81,6.0,0.92,1.0,1.0,2.0,2.0,5.0,21.0,75.0,6.0,2.0,108.0,0.0
82,0.0,0.92,1.0,0.0,2.0,2.0,5.0,21.0,2277.964901664145,0.0,1.0,136.0,0.0
83,0.0,0.92,1.0,1.0,2.0,2.0,5.0,5.0,30.0,0.0,1.0,27.0,0.0
84,29.0,0.7959999999999999,2.0,1.0,0.0,3.0,5.0,4.0,75.0,4.0,1.0,74.0,0.0
85,16.0,0.884,1.0,1.0,2.0,2.0,5.0,15.0,30.0,3.0,1.0,86.0,0.0
86,30.0,0.866,2.0,0.0,0.0,2.0,5.0,0.0,30.0,6.0,2.0,83.0,0.0
87,0.0,0.92,2.0,0.0,1.0,1.0,5.0,4.0,2277.964901664145,0.0,3.0,75.0,0.0
88,31.0,0.698,1.0,0.0,1.0,3.0,5.0,11.0,2277.964901664145,5.0,2.0,42.0,0.0
